SAMEA3359902	ERR1082136
SAMEA3359903	ERR1082137
SAMEA3359904	ERR1082138
SAMEA3359906	ERR1082139
SAMEA3359910	ERR1082140
SAMEA3359913	ERR1082141
SAMEA3359914	ERR1082142
SAMEA3359915	ERR1082143
SAMEA3504596	ERR1203053
SAMEA3504597	ERR1203054
SAMEA3504598	ERR1203055
SAMEA3504599	ERR1203056
SAMEA3504600	ERR1203057
SAMEA3504601	ERR1203058
SAMEA3504602	ERR1203059
SAMEA3504606	ERR1203061
SAMEA3504607	ERR1203062
SAMEA3504610	ERR1203065
SAMEA3504611	ERR1203066
SAMEA3504612	ERR1203068
SAMEA3504613	ERR1203069
SAMEA3504614	ERR1203070
SAMEA3504615	ERR1203072
SAMEA3504621	ERR1203074
SAMEA3504622	ERR1203075
SAMEA3504623	ERR1203076
SAMEA3504624	ERR1203077
SAMEA3504625	ERR1203078
SAMEA3359878	ERR1215460
SAMEA3359879	ERR1215461
SAMEA3359881	ERR1215462
SAMEA3359882	ERR1215463
SAMEA3359883	ERR1215464
SAMEA3359884	ERR1215465
SAMEA3359889	ERR1215466
SAMEA3359890	ERR1215467
SAMEA3359891	ERR1215468
SAMEA3359892	ERR1215469
SAMEA3359893	ERR1215470
SAMEA3359894	ERR1215471
SAMEA3359895	ERR1215472
SAMEA3359905	ERR1215474
SAMEA3359907	ERR1215475
SAMEA3359908	ERR1215476
SAMEA3359909	ERR1215477
SAMEA3359912	ERR1215478
SAMEA3359913	ERR1215479
SAMEA3359916	ERR1215480
SAMEA3359917	ERR1215481
SAMEA3359918	ERR1215482
SAMEA3359919	ERR1215483
SAMEA3504595	ERR1334049
SAMEA3504603	ERR1334050
SAMEA3504605	ERR1334051
SAMEA3504608	ERR1334052
SAMEA3504609	ERR1334053
SAMEA2340876	ERR502471
SAMEA2340880	ERR502475
SAMEA2340881	ERR502476
SAMEA2340882	ERR502477
SAMEA2340888	ERR502481
SAMEA2340889	ERR502482
SAMEA2340890	ERR502483
SAMEA2340891	ERR502484
SAMEA2340892	ERR502485
SAMEA2340893	ERR502486
SAMEA2340894	ERR502487
SAMEA2340896	ERR502489
SAMEA2340897	ERR502490
SAMEA2340899	ERR502492
SAMEA2340900	ERR502493
SAMEA2340901	ERR502494
SAMEA2340903	ERR502496
SAMEA2340904	ERR502497
SAMEA2340905	ERR502498
SAMEA2340907	ERR502500
SAMEA2340908	ERR502501
SAMEA2340909	ERR502502
SAMEA2340910	ERR502503
SAMEA2340912	ERR502505
SAMEA2340913	ERR502506
SAMEA2340914	ERR502507
SAMEA2340915	ERR502508
SAMEA2340916	ERR502509
SAMEA2340917	ERR502510
SAMEA2340918	ERR502511
SAMEA2340919	ERR502512
SAMEA2340920	ERR502513
SAMEA2340921	ERR502514
SAMEA2340922	ERR502515
SAMEA2340923	ERR502516
SAMEA2340924	ERR502517
