SAMEA3359865	ERR1082113
SAMEA3359866	ERR1082114
SAMEA3359867	ERR1082115
SAMEA3359868	ERR1082116
SAMEA3359869	ERR1082117
SAMEA3359870	ERR1082118
SAMEA3359871	ERR1082119
SAMEA3359872	ERR1082120
SAMEA3359873	ERR1082121
SAMEA3359874	ERR1082122
SAMEA3359875	ERR1082123
SAMEA3359876	ERR1082124
SAMEA3359877	ERR1082125
SAMEA3359880	ERR1082126
SAMEA3359885	ERR1082127
SAMEA3359886	ERR1082128
SAMEA3359887	ERR1082129
SAMEA3359888	ERR1082130
SAMEA3359896	ERR1082131
SAMEA3359897	ERR1082132
SAMEA3359898	ERR1082133
SAMEA3359899	ERR1082134
SAMEA3359901	ERR1082135
SAMEA3504604	ERR1203060
SAMEA3504620	ERR1203073
SAMEA104358365	ERR2181458
SAMEA1877073	ERR234097
SAMEA1877233	ERR234106
SAMEA1877098	ERR234113
SAMEA1877206	ERR234142
SAMEA1877187	ERR234143
SAMEA1877165	ERR234144
SAMEA1877152	ERR234145
SAMEA1877139	ERR234146
SAMEA1877132	ERR234147
SAMEA1877117	ERR234148
SAMEA1877136	ERR234149
SAMEA1877101	ERR234150
SAMEA1877109	ERR234151
SAMEA1877207	ERR234160
SAMEA1877229	ERR234176
SAMEA1877142	ERR234184
SAMEA1877237	ERR234186
SAMEA1877227	ERR234199
SAMEA1877126	ERR234202
SAMEA1877169	ERR234204
SAMEA1877190	ERR234254
SAMEA1877177	ERR234255
SAMEA1877285	ERR234257
SAMEA1877150	ERR234261
SAMEA2340875	ERR502470
       				ERR751349
SAMEA3246143	ERR756344
SAMEA3250476	ERR756345
SAMEA3250477	ERR756346
SAMEA3250478	ERR756347
SAMEA3250479	ERR756348
SAMEA2534321	ERR868539
SAMN11492960	
SAMN04479830	
